,Date Created,Number of Likes,Tweets
52,2022-10-15 08:54:09+00:00,0,"@hunnybuny_ @txtdrberseragam Statement terbodoh! Di dunia juga udah pada tau, tragedi kanjuruhan karena pembunuhan massal polisi!"
53,2022-10-15 08:38:07+00:00,0,"Dalam Waktu Dekat, Polisi Akan Periksa 16 Saksi Tragedi Kanjuruhan https://t.co/0kwMBcfNMh #KadivHumasPolri #IrjenDediPrasetyo #TragediKanjuruhan #PeriksaSaksi"
54,2022-10-15 08:36:01+00:00,2,"Konferensi Pers Tim Gabungan Independen Pencari Fakta (TGIPF), Jumat (14/10/2022)

TGIPF memastikan penyebab kematian massal pada Tragedi Kanjuruhan di Stadion Kanjuruhan, Malang, Jawa Timur, akibat tembakan gas air mata polisi di dalam stadion.

https://t.co/KRKLAm581P"
55,2022-10-15 08:27:37+00:00,0,@adhiyanyoedi @OngisnadeNet Lha po hubungane polisi sik knek narkoba karo tragedi kanjuruhan?? Aneh men !!!
56,2022-10-15 08:19:43+00:00,1,"@panditfootball Kumpulin polisi yang bertugas malam itu, dan para panitia pelaksana, kemudian dikunci di dalam stadion kanjuruhan lalu di tembak gas air mata kadaluarsa. 😡😡😡😡😡. 130 lebih manusia mati. 130!!! Seperti korban kecelakaan Pesawat Terbang!! @Indosiar @pt_lib @FIFAcom"
57,2022-10-15 07:55:05+00:00,1,"Perkuat Bukti Kasus Kanjuruhan, Polisi akan Gali Makam Dua Korban

https://t.co/sTT1x0YvIq"
58,2022-10-15 07:54:43+00:00,0,"@ini7indonesia @KompasTV Moga aja anak lu dan turunannya ntah skarang ato kelak bakalan didoain yg jelek2 mengalami penderitaan yg  jauh lbh parah.

Buat lu nih,anaknya polisi ga ada hubungannya ama kanjuruhan,klo lu ga terima anak lu gua bawa2 ya lu jgn bawa2 anak polisi yg ga ada hubungannya."
59,2022-10-15 07:47:02+00:00,0,"Giwangkara: Update! FAKTA BARU: Polisi Penembak Gas Air Mata di Tragedi Kanjuruhan Ternyata Tak Mendapatkan Pembekalan - Giwangkara.
https://t.co/hNwvIocAwN

melalui @GoogleNews"
60,2022-10-15 07:45:54+00:00,0,"Imbas Tragedi Kanjuruhan, Polisi Kedepankan Steward Dalam Pengamanan Pertandingan, Apa Itu? https://t.co/oHTR8A7hyC"
61,2022-10-15 07:42:26+00:00,0,"@ax_sx25 @D_manWhoCanBe @SiaranBolaLive Udah gitu masih ada yg bersikeras polisi ga salah di tragedi kanjuruhan.

Dari awal juga laporan RS yg menangani bilang kebanyakan korban MD karna gangguan pernapasan."
62,2022-10-15 07:39:31+00:00,0,"Sambo + kanjuruhan + kapolda jatim (jenderal) jual sabu
*Belom lagi polisi muda yg jilatin kue HUT TNI, sawah orang tuanya pun belom balik modal itu 👀

Pertanyaannya, ‘kok bisaaaaaaaa?’"
63,2022-10-15 07:38:39+00:00,12,"Oknum TNI yang melakukan tendangan kungfu diketahui berinisial Sersan Dua (Serda) TBW resmi ditetapkan sebagai tersangka tragedi Kanjuruhan oleh Pusat Polisi Militer TNI Angkatan Darat (Puspomad).
https://t.co/2sVQC6HQDh"
64,2022-10-15 07:38:35+00:00,0,"Oknum TNI yang melakukan tendangan kungfu diketahui berinisial Sersan Dua (Serda) TBW resmi ditetapkan sebagai tersangka tragedi Kanjuruhan oleh Pusat Polisi Militer TNI Angkatan Darat (Puspomad).
https://t.co/GClaelOLfT"
65,2022-10-15 07:36:36+00:00,0,Polisi Akan Gelar Rekonstruksi Tragedi Kanjuruhan Kamis 20 Oktober https://t.co/19HQKWgMp3
66,2022-10-15 07:34:38+00:00,0,Polri bakal menggelar rekonstruksi terkait tragedi Kanjuruhan pada Kamis pekan depan. Polisi bakal mencari tahu arah tembakan gas air mata.  https://t.co/iydEd7QN7F
67,2022-10-15 07:17:32+00:00,0,"@MCAOps Gak usah terlalu menyalahkan polisi, itu kanjuruhan emang polisinya doang yg salah. Gak lah. Gak mungkin desak2kan sebanyak itu kalau panitianya benar kalo pelaksananya gak ngejar untuk"
68,2022-10-15 07:15:40+00:00,0,#Polisi Akan Bongkar Makam Korban Kanjuruhan - Okezone #foto #fotogoogle https://t.co/df7fahDW8l
